temperature,humidity,ammonia
27.36,39.46,32.697
27.4,39.81,32.66
27.38,39.27,32.66
27.38,39.16,32.678
27.38,39.55,32.678
27.38,39.77,32.678
27.4,39.07,32.716
27.38,39.79,32.697
27.36,39.92,32.678
27.38,39.97,32.678
27.36,40.19,32.678
27.36,40.45,32.66
27.34,39.26,32.678
27.34,39.01,32.697
27.34,38.95,32.678
27.34,39.25,32.697
27.34,39.53,32.697
27.36,39.7,32.697
27.36,39.98,32.697
27.34,40.19,32.697
27.34,40.31,32.697
27.36,40.34,32.697
27.36,40.37,32.678
27.36,40.43,32.678
27.32,40.52,32.678
27.36,40.57,32.716
27.34,40.71,32.697
27.34,40.74,32.678
27.36,40.9,32.697
27.34,41,32.678
27.38,41.08,32.678
27.36,40.97,32.678
27.34,40.89,32.678
27.36,40.87,32.678
27.36,40.95,32.678
27.36,40.93,32.697
27.36,40.87,32.678
27.36,40.93,32.678
27.36,40.99,32.678
27.36,40.99,32.678
27.36,41.16,32.678
27.36,41.1,32.678
27.34,41.26,32.678
27.36,41.19,32.678
27.36,41.19,32.678
27.36,41.38,32.716
27.36,41.32,32.678
27.36,41.41,32.678
27.36,41.36,32.716
27.36,41.37,32.678
27.36,41.27,32.678
27.36,41.38,32.66
27.36,41.27,32.678
27.36,41.35,32.678
27.36,41.38,32.678
27.34,41.43,32.678
27.36,41.42,32.678
27.34,41.43,32.678
27.36,41.22,32.678
27.36,41.1,32.716
27.36,40.82,32.678
27.36,40.93,32.697
27.34,41.07,32.678
27.34,41.06,32.678
27.34,40.89,32.697
27.34,40.95,32.697
27.32,40.5,32.678
27.36,40.35,32.697
27.34,40.39,32.716
27.36,40.34,32.678
27.34,40.33,32.678
27.34,40.31,32.678
27.36,40.33,32.697
27.36,40.53,32.697
27.36,40.34,32.697
27.36,40.22,32.678
27.34,39.66,32.678
27.36,39.75,32.697
27.34,39.8,32.678
27.34,39.99,32.678
27.34,40.19,32.678
27.34,40.53,32.678
27.32,40.66,32.678
27.34,40.54,32.697
27.36,40.59,32.66
27.34,40.59,32.697
27.34,40.47,32.697
27.32,40.51,32.697
27.34,40.53,32.678
27.34,40.48,32.716
27.34,40.65,32.678
27.34,40.61,32.678
27.32,40.66,32.678
27.34,40.82,32.697
27.34,40.55,32.716
27.34,39.91,32.697
27.34,38.98,32.678
27.32,39.28,32.697
27.34,38.54,32.697
27.34,38.16,32.678
27.29,36.39,32.697
27.29,35.49,32.678
27.29,35.58,32.678
27.32,35.42,32.697
27.32,36.05,32.678
27.29,36.42,32.678
27.29,36.55,32.697
27.29,36.32,32.697
